gene,rank,weighted_lfc,direction_consistency
HIST1H2AC,162,0.686374729871835,0.666666666666667
NDEL1,163,0.504467956001106,1
PKP4,164,-0.426101589471177,0.666666666666667
CBX4,165,0.497699995893707,0.666666666666667
KLF2,166,2.64388735072586,0.666666666666667
S100A8,167,0.529865919322667,0.666666666666667
ZFP36,168,3.62207817746268,1
SELE,169,2.45326161179431,1
HIST1H4H,170,0.401289515690963,0.666666666666667
DNAJB5,171,0.495186863087885,1
PTGS2,172,1.27871085848694,0.666666666666667
EGR1,173,3.98624504972923,0.666666666666667
ZNF622,174,0.379647314693164,1
ALDH5A1,175,-0.493619267324685,0.666666666666667
KLF4,176,3.66796560907162,0.666666666666667
AP4B1,177,0.300076606016843,0.666666666666667
MRPL18,178,0.605071748816237,1
NR1H4,179,0.590521275645562,1
UGP2,180,0.388080139989277,0.666666666666667
C9orf72,181,0.546786956856283,0.666666666666667
P4HA2,182,0.00586935775942833,0.666666666666667
POSTN,183,1.48098294894478,0.666666666666667
CCT6P1,184,0.636009743952261,0.666666666666667
SKA2,185,-0.238605151057062,1
EIF5,186,0.203225593504674,1
RPA1,187,-0.214349962376986,1
HIST1H1C,188,0.922561734300049,0.666666666666667
PTPRQ,189,2.80215785941998,0.666666666666667
PANK1,190,-0.765779663364975,0.666666666666667
STX3,191,0.4545320984934,1
SERTAD1,192,1.52372864858205,0.666666666666667
DUSP5,193,2.42475629935201,1
RWDD2A,194,0.213816837897041,1
CCL8,195,1.21252628981127,0.666666666666667
C5AR1,196,0.498596538704031,1
HDAC1,197,-0.270239685297078,1
AHSA1,198,0.536681084171679,1
P4HA1,199,-0.473612515727516,0.666666666666667
HRG,200,-0.816971200221452,0.666666666666667
ZNF473,201,0.667721201247136,1
TMCO3,202,-0.266210980587765,1
SLC20A1,203,1.36342507435105,0.666666666666667
FBXO5,204,0.223462462700491,0.666666666666667
IARS2,205,-0.247449386601717,0.666666666666667
S100A13,206,0.157693387085589,0.666666666666667
PTPRO,207,1.99222842793367,0.666666666666667
SEMA3F,208,0.0221410053954123,0.666666666666667
RNF19A,209,0.261340868151992,1
PTPRG,210,-0.103578644173787,0.666666666666667
MED8,211,0.215529380849829,1
PHLDA1,212,0.855511391703486,1
TYMP,213,0.372433658658469,0.666666666666667
ATMIN,214,-0.179794447367395,0.666666666666667
TNFRSF21,215,-0.145665420565913,0.666666666666667
AHCY,216,-0.409914249463923,0.666666666666667
ITPKC,217,0.723786077809085,1
CA10,218,-0.175458501492943,0.666666666666667
SNHG9,219,0.424981085662552,0.666666666666667
HSPA4,220,0.371474285505588,1
RGS2,221,1.40800548873056,0.666666666666667
SLC2A4RG,222,-0.479913113674003,0.666666666666667
PIGA,223,0.792256030549151,0.666666666666667
ITM2A,224,-0.421169894643086,1
DIAPH1,225,0.260767608530882,0.666666666666667
ZBED1,226,-0.36725254439064,0.666666666666667
PER1,227,1.05204117973046,1
DNAJC27,228,0.756023968552922,0.666666666666667
FBXO3,229,-0.32195442885635,0.666666666666667
ATPAF1,230,-0.280134838557363,0.666666666666667
NEDD9,231,0.812767545340245,0.666666666666667
AMZ2,232,-0.399697182475708,0.666666666666667
NXF1,233,0.291300493743321,1
MYADM,234,1.46664479243998,1
HACL1,235,-0.318482583720663,0.666666666666667
H3F3B,236,0.736896269421827,0.666666666666667
PPP1R3C,237,0.435818295532371,0.666666666666667
CYBRD1,238,-0.498852593462068,1
HSD11B2,239,-0.334606032729263,0.666666666666667
ITGB6,240,0.303251447894008,1
HIC2,241,0.406599600631561,1
GALM,242,-0.565004099381222,0.666666666666667
LNPEP,243,-0.109776693397748,0.666666666666667
SLC14A1,244,-0.78503349614586,1
TMEM54,245,0.356008929383542,0.666666666666667
CXCL2,246,2.74420831466075,0.666666666666667
MAFG,247,0.336722118558863,1
STIP1,248,0.650956298539326,1
SLC39A14,249,0.768129189461191,1
NOP56,250,0.31531577439647,1
NLRP3,251,1.01365457916991,1
FGGY,252,-0.108102407898431,0.666666666666667
SNIP1,253,0.320176575761137,0.666666666666667
UBL3,254,-0.366028788668251,1
CYP24A1,255,1.2941778042189,0.666666666666667
HIST2H4A,256,0.521602838639031,0.666666666666667
ARSF,257,-0.549086879292597,0.666666666666667
